type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,NA,1100000.0,1914.0,2.0,3.0,3.0,2.0,2.0,3.0,1989.0
condos,condo,450000.0,814.0,1.0,2.0,1.0,1.0,1.0,0.0,1972.0
single_family,NA,549500.0,2095.0,2.0,4.0,3.0,3.0,3.0,2.0,1997.0
land,NA,89995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_family,NA,849999.0,1892.0,1.0,5.0,2.0,2.0,2.0,0.0,1920.0
townhomes,townhouse,619000.0,1208.0,2.0,3.0,2.0,1.0,1.0,1.0,1978.0
single_family,NA,669900.0,1888.0,1.0,4.0,2.0,2.0,2.0,2.0,1965.0
single_family,NA,875000.0,2016.0,3.0,4.0,4.0,3.0,3.0,2.0,2007.0
single_family,NA,2599000.0,2907.0,1.0,3.0,3.0,2.0,2.0,2.0,1968.0
single_family,NA,799000.0,1407.0,1.0,3.0,2.0,2.0,2.0,3.0,1927.0
single_family,NA,1368000.0,1628.0,1.0,3.0,2.0,2.0,2.0,2.0,1956.0
condos,condo,650000.0,1082.0,1.0,2.0,2.0,2.0,2.0,0.0,1980.0
single_family,NA,436000.0,1025.0,1.0,3.0,2.0,2.0,2.0,2.0,1979.0
land,NA,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,389000.0,720.0,1.0,2.0,1.0,1.0,1.0,1.0,1946.0
single_family,NA,1600000.0,3138.0,2.0,4.0,3.0,3.0,3.0,2.0,1985.0
single_family,NA,649500.0,1458.0,2.0,4.0,3.0,2.0,2.0,2.0,1988.0
condos,condo,448900.0,422.0,1.0,1.0,1.0,1.0,1.0,0.0,1987.0
single_family,NA,510000.0,1009.0,1.0,3.0,1.0,1.0,1.0,2.0,1952.0
land,NA,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,595000.0,1200.0,1.0,4.0,2.0,2.0,2.0,2.0,1957.0
townhomes,townhouse,719000.0,960.0,2.0,2.0,2.0,1.0,2.0,2.0,1984.0
single_family,NA,745000.0,2841.0,2.0,3.0,2.0,2.0,2.0,2.0,1980.0
mobile,NA,250000.0,1060.0,1.0,2.0,2.0,2.0,2.0,0.0,2019.0
single_family,NA,700000.0,2980.0,2.0,4.0,4.0,3.0,3.0,3.0,2018.0
condos,condo,588220.0,1174.0,1.0,2.0,2.0,2.0,2.0,0.0,1979.0
single_family,NA,2690000.0,1911.0,1.0,2.0,2.0,2.0,2.0,2.0,1977.0
single_family,NA,889999.0,1310.0,1.0,4.0,2.0,2.0,2.0,2.0,1956.0
single_family,NA,1100000.0,2302.0,1.0,3.0,2.0,2.0,2.0,2.0,1984.0
townhomes,townhouse,750000.0,2170.0,3.0,4.0,3.0,3.0,3.0,2.0,2009.0
single_family,NA,724900.0,1889.0,2.0,4.0,3.0,2.0,2.0,2.0,2005.0
